key,dish_id,eaten_at,eaten_at_utc_offset,image_id,weight,description,remarks
2ahgvr,364655,2022-05-19T11:54:48Z,120,73ff013c-7f3f-4d46-90c2-77f1e0a1a9da,180.0,Yogourt caramel beurre salé,
2ahgvr,364705,2022-05-19T17:24:47Z,120,02d38718-0a21-4e6e-bffd-41eac4914809,224.0,Sandwich au fromage,
2ahgvr,364856,2022-05-20T11:27:48Z,120,128345aa-69cb-4443-a341-a6ad045a7753,135.0,Haricots coco,
2ahgvr,364856,2022-05-20T11:27:48Z,120,128345aa-69cb-4443-a341-a6ad045a7753,88.0,Riz et lentilles au curry,
2ahgvr,364890,2022-05-20T13:58:09Z,120,e557b056-a7bc-46bb-acb3-8a704b79c6e3,249.0,Sandwich au chèvre chaud,
2ahgvr,364967,2022-05-20T19:18:17Z,120,5b8a0853-ecc4-4015-bc9a-2b50766f873a,6.0,Sauce andalouse,
2ahgvr,364967,2022-05-20T19:18:17Z,120,5b8a0853-ecc4-4015-bc9a-2b50766f873a,28.0,Pain,
2ahgvr,364967,2022-05-20T19:18:17Z,120,5b8a0853-ecc4-4015-bc9a-2b50766f873a,76.0,Brochette de boeuf,
2ahgvr,364967,2022-05-20T19:18:17Z,120,5b8a0853-ecc4-4015-bc9a-2b50766f873a,104.0,Salade de pâtes,
2ahgvr,364967,2022-05-20T19:18:17Z,120,5b8a0853-ecc4-4015-bc9a-2b50766f873a,93.0,Mergez,
2ahgvr,364977,2022-05-20T20:02:27Z,120,a1dcaa3e-bad0-4d16-a8e3-c6217544e407,112.0,Salade de pâtes,
2ahgvr,365114,2022-05-21T13:22:05Z,120,b24759a6-90ea-4f9e-a1ad-d52af234de62,177.0,Asperges,
2ahgvr,365114,2022-05-21T13:22:05Z,120,b24759a6-90ea-4f9e-a1ad-d52af234de62,21.0,Mayonnaise Thomy,
2ahgvr,365213,2022-05-21T20:04:21Z,120,1f6bdacc-fe43-46a9-b1c9-76457fcdcaa8,95.0,Carotte,
2ahgvr,365213,2022-05-21T20:04:21Z,120,1f6bdacc-fe43-46a9-b1c9-76457fcdcaa8,124.0,Tomates cerises,
2ahgvr,365214,2022-05-21T20:06:23Z,120,1f9fee78-9967-4275-a8a5-59ec89cbbc67,48.0,Chèvres chauds,
2ahgvr,365415,2022-05-22T18:45:05Z,120,6ad3a13b-915d-44a0-b6fa-c34c76f40b78,402.0,Pizza,
2ahgvr,365415,2022-05-22T18:45:05Z,120,6ad3a13b-915d-44a0-b6fa-c34c76f40b78,16.0,Piment,
2ahgvr,365507,2022-05-23T11:31:08Z,120,ac89e4ac-710a-4538-aff4-5f87b89ce34e,28.0,Salade,
2ahgvr,365507,2022-05-23T11:31:08Z,120,ac89e4ac-710a-4538-aff4-5f87b89ce34e,125.0,Demi pidé fromage-viande hachée,
2ahgvr,365589,2022-05-23T19:42:27Z,120,a2d48966-aa71-4479-8b0f-d28dbf8ffab6,62.0,Pain pita,
2ahgvr,365589,2022-05-23T19:42:27Z,120,a2d48966-aa71-4479-8b0f-d28dbf8ffab6,51.0,Jambon,
2ahgvr,365589,2022-05-23T19:42:27Z,120,a2d48966-aa71-4479-8b0f-d28dbf8ffab6,7.0,Moutarde,
2ahgvr,365590,2022-05-23T19:43:19Z,120,d74023c5-5db0-4ce9-8a5d-f6e240701032,330.0,Tomates,
2ahgvr,366387,2022-05-29T07:23:30Z,120,46bc24bb-befc-4cb6-9141-790523154f4a,56.0,Kiwi,
2ahgvr,366388,2022-05-29T07:28:29Z,120,6b1cc73c-e22b-4132-970e-e37910b8b407,28.0,Pain ,
2ahgvr,366388,2022-05-29T07:28:29Z,120,6b1cc73c-e22b-4132-970e-e37910b8b407,13.0,Crème de marrons,
2ahgvr,366419,2022-05-29T11:32:06Z,120,870b697a-4ca7-485b-8fb7-2178f9174d29,264.0,Tomates,
2ahgvr,366419,2022-05-29T11:32:06Z,120,870b697a-4ca7-485b-8fb7-2178f9174d29,19.0,Olives,
2ahgvr,366422,2022-05-29T11:50:35Z,120,55942abb-1eae-446a-8c69-bf40fe9d9495,92.0,Glace sorbet framboise,
2ahgvr,366422,2022-05-29T11:50:35Z,120,55942abb-1eae-446a-8c69-bf40fe9d9495,111.0,Pomme,
2ahgvr,366488,2022-05-29T21:14:20Z,120,bde4af63-a58b-4570-91f5-9d102dda144b,395.0,Pizza,
2ahgvr,366620,2022-05-30T16:03:27Z,120,b5bf1a7f-a9d6-4fd9-a151-9658e738cc0a,250.0,Redbull,
2ahgvr,366640,2022-05-30T17:49:01Z,120,c38af091-7163-4512-9bf6-327ae5fa66de,76.0,Cookie américan Migros,
2ahgvr,366662,2022-05-30T20:41:54Z,120,ae2d8a61-c883-4db2-8299-53902ff3beb6,187.0,Salade grecque,
2ahgvr,366662,2022-05-30T20:41:54Z,120,ae2d8a61-c883-4db2-8299-53902ff3beb6,30.0,Sauce salade moutarde,
2ahgvr,366704,2022-05-31T08:18:33Z,120,cca1db77-eb8e-454d-8ea2-e23840f01b97,180.0,Yogourt nature,Muesli
2ahgvr,366704,2022-05-31T08:18:33Z,120,cca1db77-eb8e-454d-8ea2-e23840f01b97,20.0,Flocons d'avoine,Muesli
2ahgvr,366704,2022-05-31T08:18:33Z,120,cca1db77-eb8e-454d-8ea2-e23840f01b97,10.0,Son d'avoine,Muesli
