key,dish_id,eaten_at,eaten_at_utc_offset,image_id,weight,description,remarks,all_food_items
p8a2w5,359283,2022-05-03T12:43:05Z,120,606063ba-5ba3-4664-aaf2-aadd1d945354,317.0,café au lait,,café au lait
p8a2w5,359894,2022-05-05T07:12:57Z,120,03210130-04f7-45e1-babd-2c0693093101,207.0,café ,,"café , lait dans le café"
p8a2w5,359894,2022-05-05T07:12:57Z,120,03210130-04f7-45e1-babd-2c0693093101,177.0,lait dans le café,,"café , lait dans le café"
p8a2w5,359900,2022-05-05T07:39:07Z,120,8ac29275-d4b1-4944-a03a-38c7f8287e8c,264.0,eau ,,"eau , eau, eau, eau, eau, eau, eau, eau, eau, eau, eau, eau , eau , eau, eau"
p8a2w5,359905,2022-05-05T07:40:50Z,120,4c05ee25-7f4e-4aba-8d89-4b7c5345b4b8,114.0,lait,,"céréales , lait"
p8a2w5,359941,2022-05-05T09:43:48Z,120,0e167b0e-8e66-409d-9beb-3f7879d1d8e5,287.0,thé au chanvre,,thé au chanvre
p8a2w5,359980,2022-05-05T11:40:00Z,120,8ac29275-d4b1-4944-a03a-38c7f8287e8c,264.0,eau,,"eau , eau, eau, eau, eau, eau, eau, eau, eau, eau, eau, eau , eau , eau, eau"
p8a2w5,360036,2022-05-05T13:10:30Z,120,bbce7865-d72c-4095-a722-1c93b4b47e21,261.0,thé au chanvre,,thé au chanvre
p8a2w5,360193,2022-05-05T19:02:47Z,120,62095991-e788-405d-a5d5-b5ad2d8bd2e0,86.0,"curry (lait de coco, tofu, oignon, carottes, poivrons verts)",,"riz, curry (lait de coco, tofu, oignon, carottes, poivrons verts)"
p8a2w5,360204,2022-05-05T19:13:00Z,120,8ac29275-d4b1-4944-a03a-38c7f8287e8c,264.0,eau,,"eau , eau, eau, eau, eau, eau, eau, eau, eau, eau, eau, eau , eau , eau, eau"
p8a2w5,360226,2022-05-05T20:32:00Z,120,8ac29275-d4b1-4944-a03a-38c7f8287e8c,264.0,eau,,"eau , eau, eau, eau, eau, eau, eau, eau, eau, eau, eau, eau , eau , eau, eau"
p8a2w5,361054,2022-05-08T10:24:03Z,120,71c4ab0a-8e0c-44b1-afbd-8e8514f775e7,212.0,eau,,"eau, eau, eau, eau "
p8a2w5,361092,2022-05-08T11:38:00Z,120,71c4ab0a-8e0c-44b1-afbd-8e8514f775e7,212.0,eau,,"eau, eau, eau, eau "
p8a2w5,361197,2022-05-08T15:20:00Z,120,71c4ab0a-8e0c-44b1-afbd-8e8514f775e7,212.0,eau,,"eau, eau, eau, eau "
p8a2w5,361268,2022-05-08T18:35:00Z,120,71c4ab0a-8e0c-44b1-afbd-8e8514f775e7,212.0,eau ,,"eau, eau, eau, eau "
p8a2w5,362551,2022-05-12T06:29:58Z,120,4e1ee2dc-ee7d-4814-97f4-73b0495d0d61,56.0,lait,,"céréales , lait"
p8a2w5,362553,2022-05-12T06:31:09Z,120,67b9ee79-8278-4b71-b8fc-5e9cbe38bf4d,162.0,café,,"café, lait"
p8a2w5,362553,2022-05-12T06:31:09Z,120,67b9ee79-8278-4b71-b8fc-5e9cbe38bf4d,102.0,lait,,"café, lait"
p8a2w5,362560,2022-05-12T07:02:21Z,120,a416936b-b0a2-4ec7-97da-21c62ae6d7a0,218.0,eau,,"eau, eau"
p8a2w5,362599,2022-05-12T08:18:00Z,120,a416936b-b0a2-4ec7-97da-21c62ae6d7a0,218.0,eau,,"eau, eau"
p8a2w5,362920,2022-05-13T06:23:26Z,120,ca7991bc-4cd1-4134-b59e-4abec240c402,259.0,eau,,"eau, eau, eau, eau"
p8a2w5,362923,2022-05-13T06:27:03Z,120,007504f0-436e-493e-8cfb-af76d54f2c7f,142.0,café,,"café, lait dans le café"
p8a2w5,362923,2022-05-13T06:27:03Z,120,007504f0-436e-493e-8cfb-af76d54f2c7f,100.0,lait dans le café,,"café, lait dans le café"
p8a2w5,362942,2022-05-13T07:27:31Z,120,72616968-1f43-46e2-9e10-00877527129b,54.0,lait,glace maison => donne 251 dans le bol,"bananes congelées, lait, beurre de cacahuète , cacao en poudre, fraises"
p8a2w5,362996,2022-05-13T10:11:00Z,120,ca7991bc-4cd1-4134-b59e-4abec240c402,259.0,eau,,"eau, eau, eau, eau"
p8a2w5,363232,2022-05-13T20:30:00Z,120,ca7991bc-4cd1-4134-b59e-4abec240c402,259.0,eau,,"eau, eau, eau, eau"
p8a2w5,363231,2022-05-13T20:45:00Z,120,ca7991bc-4cd1-4134-b59e-4abec240c402,259.0,eau,,"eau, eau, eau, eau"
p8a2w5,364141,2022-05-17T06:40:26Z,120,1761d954-a2f9-48f1-b3ea-35ac22f6820c,152.0,café,,"café, lait dans le café , café "
p8a2w5,364141,2022-05-17T06:40:26Z,120,1761d954-a2f9-48f1-b3ea-35ac22f6820c,62.0,lait dans le café ,,"café, lait dans le café , café "
p8a2w5,364155,2022-05-17T07:17:54Z,120,ac28838e-2a46-49a2-98c8-d5c99aed7da4,90.0,lait d'avoine,,"céréales , lait d'avoine"
p8a2w5,364158,2022-05-17T07:30:27Z,120,0f5fb90d-106d-4cdd-a2fd-0d4fa8b76d28,226.0,eau ,,"eau , eau, eau, eau, eau, eau"
p8a2w5,364181,2022-05-17T08:55:00Z,120,0f5fb90d-106d-4cdd-a2fd-0d4fa8b76d28,226.0,eau,,"eau , eau, eau, eau, eau, eau"
p8a2w5,364182,2022-05-17T09:46:00Z,120,0f5fb90d-106d-4cdd-a2fd-0d4fa8b76d28,226.0,eau,,"eau , eau, eau, eau, eau, eau"
p8a2w5,364227,2022-05-17T11:08:00Z,120,0f5fb90d-106d-4cdd-a2fd-0d4fa8b76d28,226.0,eau,,"eau , eau, eau, eau, eau, eau"
p8a2w5,364345,2022-05-17T15:40:00Z,120,0f5fb90d-106d-4cdd-a2fd-0d4fa8b76d28,226.0,eau,,"eau , eau, eau, eau, eau, eau"
p8a2w5,364346,2022-05-17T18:42:00Z,120,0f5fb90d-106d-4cdd-a2fd-0d4fa8b76d28,226.0,eau,,"eau , eau, eau, eau, eau, eau"
p8a2w5,364602,2022-05-19T07:19:47Z,120,ea4d3780-8834-4824-adc9-cdd0133a577d,653.0,café au lait,,café au lait
p8a2w5,364612,2022-05-19T08:13:51Z,120,f831628d-4dd0-435f-9ae5-08c943df0864,123.0,lait dans les céréales ,,"céréales , lait dans les céréales "
p8a2w5,364615,2022-05-19T08:24:15Z,120,3b030a9f-5375-420f-ab1d-20fe6d201bf4,232.0,eau,,"eau, eau, eau, eau, eau, eau , eau, eau, eau , eau, eau, eau, eau "
p8a2w5,364621,2022-05-19T09:21:00Z,120,3b030a9f-5375-420f-ab1d-20fe6d201bf4,232.0,eau,,"eau, eau, eau, eau, eau, eau , eau, eau, eau , eau, eau, eau, eau "
p8a2w5,364738,2022-05-19T20:38:00Z,120,3b030a9f-5375-420f-ab1d-20fe6d201bf4,232.0,eau,,"eau, eau, eau, eau, eau, eau , eau, eau, eau , eau, eau, eau, eau "
p8a2w5,364771,2022-05-20T06:27:23Z,120,52833381-19d3-4e59-a033-3a6960572e57,324.0,café froid,,"café froid, café froid "
p8a2w5,364784,2022-05-20T07:06:28Z,120,4fb4c5be-8035-4321-b876-62099731b721,117.0,lait dans céréales ,,"céréales , lait dans céréales "
p8a2w5,364857,2022-05-20T07:34:00Z,120,3b030a9f-5375-420f-ab1d-20fe6d201bf4,232.0,eau,,"eau, eau, eau, eau, eau, eau , eau, eau, eau , eau, eau, eau, eau "
p8a2w5,364858,2022-05-20T08:45:00Z,120,3b030a9f-5375-420f-ab1d-20fe6d201bf4,232.0,eau,,"eau, eau, eau, eau, eau, eau , eau, eau, eau , eau, eau, eau, eau "
p8a2w5,364860,2022-05-20T09:50:00Z,120,3b030a9f-5375-420f-ab1d-20fe6d201bf4,232.0,eau ,,"eau, eau, eau, eau, eau, eau , eau, eau, eau , eau, eau, eau, eau "
p8a2w5,364855,2022-05-20T11:27:00Z,120,52833381-19d3-4e59-a033-3a6960572e57,324.0,café froid ,,"café froid, café froid "
p8a2w5,364941,2022-05-20T15:45:00Z,120,3b030a9f-5375-420f-ab1d-20fe6d201bf4,232.0,eau,,"eau, eau, eau, eau, eau, eau , eau, eau, eau , eau, eau, eau, eau "
p8a2w5,364986,2022-05-20T20:44:00Z,120,3b030a9f-5375-420f-ab1d-20fe6d201bf4,232.0,eau,,"eau, eau, eau, eau, eau, eau , eau, eau, eau , eau, eau, eau, eau "
p8a2w5,365036,2022-05-21T07:55:00Z,120,3b030a9f-5375-420f-ab1d-20fe6d201bf4,232.0,eau ,,"eau, eau, eau, eau, eau, eau , eau, eau, eau , eau, eau, eau, eau "
p8a2w5,365035,2022-05-21T08:42:22Z,120,dacc4b11-9bfa-4447-8ad5-5bcf3bde997f,78.0,café ,,"café , lait dans le café froid"
p8a2w5,365035,2022-05-21T08:42:22Z,120,dacc4b11-9bfa-4447-8ad5-5bcf3bde997f,250.0,lait dans le café froid,,"café , lait dans le café froid"
p8a2w5,365089,2022-05-21T10:09:00Z,120,3b030a9f-5375-420f-ab1d-20fe6d201bf4,232.0,eau,,"eau, eau, eau, eau, eau, eau , eau, eau, eau , eau, eau, eau, eau "
p8a2w5,365570,2022-05-21T14:45:00Z,120,3b030a9f-5375-420f-ab1d-20fe6d201bf4,232.0,eau,,"eau, eau, eau, eau, eau, eau , eau, eau, eau , eau, eau, eau, eau "
p8a2w5,365568,2022-05-21T15:10:00Z,120,3b030a9f-5375-420f-ab1d-20fe6d201bf4,232.0,eau,,"eau, eau, eau, eau, eau, eau , eau, eau, eau , eau, eau, eau, eau "
p8a2w5,365567,2022-05-21T17:20:00Z,120,3b030a9f-5375-420f-ab1d-20fe6d201bf4,232.0,eau ,,"eau, eau, eau, eau, eau, eau , eau, eau, eau , eau, eau, eau, eau "
p8a2w5,365811,2022-05-25T07:43:59Z,120,4a490097-e5f7-42a3-8928-9bdd835d4d17,72.0,café,,"café, lait, café froid, lait dans café"
p8a2w5,365811,2022-05-25T07:43:59Z,120,4a490097-e5f7-42a3-8928-9bdd835d4d17,231.0,lait,,"café, lait, café froid, lait dans café"
p8a2w5,365862,2022-05-25T11:25:04Z,120,8ac29275-d4b1-4944-a03a-38c7f8287e8c,232.0,eau,,"eau , eau, eau, eau, eau, eau, eau, eau, eau, eau, eau, eau , eau , eau, eau"
p8a2w5,365911,2022-05-25T17:35:00Z,120,8ac29275-d4b1-4944-a03a-38c7f8287e8c,232.0,eau,,"eau , eau, eau, eau, eau, eau, eau, eau, eau, eau, eau, eau , eau , eau, eau"
p8a2w5,365946,2022-05-25T20:13:00Z,120,8ac29275-d4b1-4944-a03a-38c7f8287e8c,232.0,eau,,"eau , eau, eau, eau, eau, eau, eau, eau, eau, eau, eau, eau , eau , eau, eau"
p8a2w5,365979,2022-05-26T07:35:00Z,120,1761d954-a2f9-48f1-b3ea-35ac22f6820c,152.0,café ,,"café, lait dans le café , café "
p8a2w5,365983,2022-05-26T07:58:00Z,120,8ac29275-d4b1-4944-a03a-38c7f8287e8c,232.0,eau,,"eau , eau, eau, eau, eau, eau, eau, eau, eau, eau, eau, eau , eau , eau, eau"
p8a2w5,365982,2022-05-26T08:38:44Z,120,7daff41f-6328-4146-8d14-b015551594c4,102.0,lait dans cereales,,"cereales, lait dans cereales"
p8a2w5,365990,2022-05-26T09:27:00Z,120,8ac29275-d4b1-4944-a03a-38c7f8287e8c,232.0,eau,,"eau , eau, eau, eau, eau, eau, eau, eau, eau, eau, eau, eau , eau , eau, eau"
p8a2w5,366011,2022-05-26T12:06:00Z,120,4a490097-e5f7-42a3-8928-9bdd835d4d17,72.0,café froid,,"café, lait, café froid, lait dans café"
p8a2w5,366011,2022-05-26T12:06:00Z,120,4a490097-e5f7-42a3-8928-9bdd835d4d17,231.0,lait dans café,,"café, lait, café froid, lait dans café"
p8a2w5,366100,2022-05-26T13:34:00Z,120,8ac29275-d4b1-4944-a03a-38c7f8287e8c,232.0,eau,,"eau , eau, eau, eau, eau, eau, eau, eau, eau, eau, eau, eau , eau , eau, eau"
